,Número da Incrição,Notas
227,353.895-8,"67,50"
228,355.594-1,"67,00"
229,357.565-9,"53,00"
230,352.885-5,"64,50"
231,355.369-8,"52,00"
232,350.413-1,"52,50"
233,358.341-4,"54,50"
234,358.581-6,"52,50"
235,355.579-8,"50,00"
236,352.013-7,"56,50"
237,354.765-5,"66,00"
238,354.750-7,"53,50"
239,351.575-3,"73,00"
240,355.543-7,"74,50"
241,354.914-3,"81,00"
242,354.605-5,"55,00"
243,351.447-1,"50,00"
244,355.681-6,"59,00"
245,355.225-0,"52,50"
246,351.219-3,"58,00"
247,357.586-1,"52,00"
248,357.458-0,"53,00"
249,352.254-7,"71,50"
250,355.645-0,"77,00"
251,353.315-8,"50,00"
252,359.127-1,"55,50"
253,354.586-5,"59,00"
254,356.653-6,"50,00"
255,352.311-0,"57,50"
256,354.265-3,"52,00"
257,358.050-4,"52,50"
258,355.822-3,"50,50"
259,358.271-0,"58,00"
260,354.438-9,"50,50"
261,351.348-3,"72,00"
262,300.855-0,"66,00"
263,359.380-0,"55,50"
264,350.220-1,"51,50"
265,355.201-2,"63,50"
266,351.725-0,"54,50"
267,350.006-3,"55,00"
268,355.439-2,"70,00"
269,357.075-4,"55,00"
270,355.807-0,"54,50"
271,352.654-2,"51,00"
272,358.312-0,"54,50"
273,354.466-4,"60,00"
274,353.570-3,"54,00"
275,358.385-6,"52,00"
276,355.328-0,"62,50"
277,352.072-2,"82,00"
278,354.913-5,"65,00"
279,357.422-9,"54,50"
280,354.172-0,"52,00"
281,353.763-3,"52,50"
282,353.414-6,"74,50"
283,355.229-2,"65,50"
284,351.784-5,"55,50"
285,357.980-8,"60,00"
286,354.375-7,"54,50"
287,350.454-9,"77,00"
288,351.308-4,"65,50"
289,357.430-0,"63,00"
290,352.315-2,"61,00"
291,300.038-9,"58,00"
292,358.110-1,"52,50"
293,359.146-8,"53,50"
294,356.949-7,"50,00"
295,357.087-8,"56,00"
296,355.402-3,"51,50"
297,356.266-2,"57,50"
298,355.511-9,"56,50"
299,354.043-0,"66,00"
300,351.831-0,"50,50"
301,351.852-3,"75,50"
302,353.131-7,"59,00"
303,351.287-8,"50,50"
304,353.204-6,"59,00"
305,357.279-0,"71,50"
306,356.645-5,"50,00"
307,356.178-0,"55,00"
308,350.643-6,"54,50"
309,356.023-6,"57,00"
310,358.691-0,"64,00"
311,356.078-3,"75,50"
312,350.119-1,"51,00"
313,356.271-9,"64,50"
314,358.575-1,"52,00"
315,358.976-5,"56,50"
316,352.935-5,"83,00"
317,350.125-6,"59,00"
318,353.286-0,"69,50"
319,353.333-6,"61,50"
320,351.079-4,"83,50"
321,356.251-4,"50,50"
322,357.798-8,"66,00"
323,357.213-7,"51,50"
324,356.263-8,"51,50"
325,358.445-3,"62,00"
326,354.948-8,"51,50"
327,357.475-0,"56,00"
328,351.506-0,"71,50"
329,355.016-8,"58,00"
330,354.697-7,"50,50"
331,355.204-7,"63,50"
332,357.454-7,"52,00"
333,355.379-5,"59,00"
334,352.657-7,"76,50"
335,357.056-8,"54,00"
336,350.929-0,"53,50"
337,350.518-9,"54,50"
338,351.740-3,"70,00"
339,350.517-0,"51,50"
340,352.337-3,"76,50"
341,352.525-2,"61,00"
342,350.172-8,"56,00"
343,353.427-8,"62,00"
344,358.492-5,"57,00"
345,356.598-0,"61,00"
346,357.270-6,"51,00"
347,351.527-3,"69,00"
348,353.489-8,"63,00"
349,354.556-3,"57,50"
350,354.649-7,"58,50"
351,351.773-0,"52,50"
352,357.821-6,"59,50"
353,353.592-4,"52,50"
354,357.841-0,"59,00"
355,353.511-8,"71,50"
356,352.269-5,"76,00"
357,351.333-5,"52,00"
358,354.329-3,"50,00"
359,358.805-0,"63,50"
360,356.923-3,"50,00"
361,352.910-0,"72,50"
362,352.429-9,"74,00"
363,352.925-8,"52,00"
364,356.544-0,"58,00"
365,352.929-0,"53,00"
366,352.643-7,"53,50"
367,350.606-1,"53,50"
368,351.076-0,"54,50"
369,355.234-9,"55,00"
370,354.895-3,"66,00"
371,358.222-1,"54,00"
372,356.431-2,"53,00"
373,355.916-5,"55,50"
374,357.009-6,"80,50"
375,352.572-4,"65,00"
376,357.706-6,"50,50"
377,353.913-0,"61,00"
378,356.355-3,"52,00"
379,354.748-5,"62,00"
380,356.479-7,"52,50"
381,357.577-2,"53,50"
382,353.228-3,"50,50"
383,357.861-5,"68,50"
384,358.306-6,"62,50"
385,355.457-0,"57,50"
386,354.559-8,"54,50"
387,357.341-9,"53,00"
388,356.463-0,"61,50"
389,359.135-2,"54,00"
390,352.412-4,"57,00"
391,356.225-5,"57,50"
392,354.435-4,"71,00"
393,357.340-0,"51,00"
394,357.309-5,"66,00"
395,351.040-9,"53,00"
396,357.519-5,"51,50"
397,358.529-8,"53,00"
398,356.809-1,"73,50"
399,359.154-9,"61,00"
400,357.536-5,"80,00"
401,354.490-7,"64,00"
402,352.348-9,"63,00"
403,351.018-2,"55,00"
404,358.054-7,"54,00"
405,352.283-0,"67,50"
406,355.516-0,"52,50"
407,354.015-4,"65,50"
408,351.698-9,"82,50"
409,359.308-8,"60,50"
410,356.017-1,"56,00"
411,358.400-3,"53,00"
412,358.467-4,"52,50"
413,353.491-0,"77,00"
414,356.475-4,"50,50"
415,355.596-8,"52,50"
416,358.772-0,"50,00"
417,353.413-8,"81,50"
418,352.758-1,"54,50"
419,352.529-5,"50,00"
420,353.006-0,"62,00"
421,358.409-7,"54,00"
422,356.866-0,"58,00"
423,352.392-6,"50,50"
424,355.880-0,"53,00"
425,356.254-9,"56,50"
426,350.955-9,"64,50"
427,356.912-8,"52,00"
428,354.984-4,"56,50"
429,356.161-5,"73,00"
430,357.293-5,"56,00"
431,355.149-0,"57,00"
432,358.475-5,"58,00"
433,352.426-4,"53,00"
434,354.123-1,"51,50"
435,353.022-1,"64,00"
436,356.537-8,"57,50"
437,351.500-1,"61,50"
438,357.093-2,"52,50"
439,352.241-5,"83,50"
440,350.649-5,"62,00"
441,357.125-4,"58,50"
442,353.279-8,"50,50"
443,356.412-6,"52,00"
444,357.612-4,"50,00"
445,350.534-0,"56,50"
446,354.465-6,"69,50"
447,357.952-2,"50,50"
448,350.110-8,"59,00"
449,355.123-7,"66,50"
450,357.079-7,"58,50"
451,355.427-9,"55,00"
452,352.624-0,"54,00"
453,352.853-7,"53,00"
454,350.855-2,"52,50"
455,357.255-2,"53,50"
456,352.582-1,"56,00"
457,351.955-4,"64,00"
458,353.233-0,"55,00"
459,350.808-0,"59,00"
460,357.810-0,"71,00"
461,359.417-3,"51,00"
462,355.966-1,"59,00"
463,355.724-3,"51,00"
464,355.512-7,"54,50"
465,350.050-0,"80,50"
466,352.888-0,"50,00"
467,357.675-2,"51,00"
468,354.143-6,"52,00"
469,356.759-1,"85,50"
470,358.116-0,"53,00"
471,353.671-8,"53,50"
472,355.114-8,"55,00"
473,357.508-0,"57,50"
474,357.805-4,"50,00"
475,350.998-2,"71,50"
476,352.236-9,"63,00"
477,358.629-4,"55,00"
478,352.338-1,"56,00"
479,351.443-9,"50,00"
480,351.720-9,"51,50"
481,356.735-4,"68,50"
482,356.284-0,"52,00"
483,356.446-0,"53,00"
484,300.822-3,"60,00"
485,355.366-3,"51,00"
486,356.657-9,"52,00"
487,350.784-0,"53,50"
488,352.207-5,"68,00"
489,357.398-2,"54,50"
490,353.325-5,"56,50"
491,357.188-2,"58,00"
492,357.030-4,"63,50"
493,358.742-8,"80,50"
494,353.008-6,"78,00"
495,358.985-4,"65,50"
496,353.700-5,"50,00"
497,357.215-3,"56,50"
498,358.227-2,"62,00"
499,356.364-2,"54,50"
500,356.673-0,"51,00"
501,356.718-4,"51,50"
502,351.838-8,"51,00"
503,354.059-6,"50,00"
504,350.343-7,"67,50"
505,353.634-3,"57,50"
506,352.699-2,"50,50"
507,351.682-2,"59,50"
508,356.727-3,"72,00"
509,353.242-9,"56,50"
510,355.080-0,"65,50"
511,357.066-5,"51,50"
512,355.632-8,"61,50"
513,352.398-5,"51,50"
514,356.871-7,"60,50"
515,352.113-3,"64,50"
516,355.421-0,"60,00"
517,358.840-8,"51,50"
518,352.256-3,"63,50"
519,355.386-8,"58,50"
520,351.872-8,"57,50"
521,355.616-6,"63,50"
522,350.548-0,"53,50"
523,354.411-7,"71,50"
524,350.576-6,"66,00"
525,350.567-7,"54,50"
526,352.162-1,"62,00"
527,353.222-4,"53,50"
528,350.598-7,"53,50"
529,357.074-6,"55,00"
530,351.709-8,"60,50"
531,351.988-0,"80,00"
532,357.747-3,"52,00"
533,358.871-8,"61,00"
534,355.744-8,"58,00"
535,357.410-5,"66,00"
536,359.242-1,"52,50"
537,352.108-7,"58,00"
538,354.919-4,"74,50"
539,356.745-1,"54,50"
540,350.678-9,"57,50"
541,357.097-5,"54,50"
542,351.478-1,"66,50"
543,353.284-4,"52,00"
544,357.433-4,"62,50"
545,353.379-4,"50,50"
546,353.238-0,"67,50"
547,356.027-9,"52,00"
548,351.020-4,"68,00"
549,352.167-2,"61,50"
550,356.739-7,"50,00"
551,352.014-5,"54,00"
552,355.365-5,"64,50"
553,352.501-5,"50,00"
554,352.017-0,"76,50"
555,354.933-0,"53,50"
556,351.645-8,"60,00"
557,350.462-0,"56,50"
558,350.424-7,"53,00"
559,355.107-5,"65,00"
560,351.552-4,"69,50"
561,352.917-7,"54,00"
562,353.076-0,"71,00"
563,357.277-3,"51,50"
564,355.477-5,"72,50"
565,357.065-7,"81,00"
566,300.420-1,"72,50"
567,358.099-7,"50,00"
568,353.157-0,"66,00"
569,300.676-0,"52,00"
570,301.131-3,"66,50"
571,354.528-8,"68,00"
572,300.464-3,"50,50"
573,356.152-6,"60,00"
574,359.212-0,"50,50"
575,356.249-2,"58,00"
576,357.846-1,"59,50"
577,350.426-3,"64,00"
578,355.938-6,"74,50"
579,358.682-0,"53,00"
580,300.433-3,"53,00"
581,356.762-1,"59,00"
582,354.381-1,"53,00"
583,352.133-8,"50,00"
584,351.755-1,"58,50"
585,350.689-4,"66,00"
586,357.674-4,"54,50"
587,355.763-4,"52,00"
588,353.183-0,"51,50"
589,353.149-0,"50,50"
590,355.830-4,"58,00"
591,353.169-4,"73,50"
592,356.934-9,"55,00"
593,350.391-7,"73,00"
594,358.553-0,"82,50"
595,353.571-1,"63,50"
596,355.445-7,"53,50"
597,358.396-1,"54,50"
598,351.966-0,"89,00"
599,300.425-2,"86,00"
600,353.107-4,"56,00"
601,355.380-9,"51,50"
602,351.218-5,"51,00"
603,354.716-7,"57,50"
604,351.052-2,"58,50"
605,355.537-2,"62,50"
606,350.427-1,"60,00"
607,355.041-9,"64,00"
608,354.996-8,"52,50"
609,357.307-9,"57,00"
610,354.354-4,"52,50"
611,300.032-0,"59,50"
612,352.191-5,"50,00"
613,351.175-8,"54,00"
614,358.223-0,"52,50"
615,354.849-0,"73,50"
616,353.846-0,"56,00"
617,358.402-0,"58,00"
618,352.998-3,"50,50"
619,350.569-3,"66,00"
620,357.207-2,"52,00"
621,358.695-2,"58,50"
622,358.085-7,"54,50"
623,358.589-1,"60,00"
624,356.106-2,"52,00"
625,354.114-2,"64,50"
626,356.624-2,"55,50"
627,356.072-4,"55,00"
628,357.539-0,"65,00"
629,355.980-7,"60,50"
630,300.296-9,"57,00"
631,350.737-8,"63,00"
632,357.979-4,"51,50"
633,358.115-2,"53,00"
634,356.049-0,"54,00"
635,357.847-0,"53,00"
636,300.491-0,"64,00"
637,351.271-1,"67,50"
638,356.085-6,"67,00"
639,355.841-0,"56,50"
640,351.750-0,"58,50"
641,352.914-2,"50,50"
642,351.005-0,"54,50"
643,355.583-6,"75,00"
644,354.494-0,"72,50"
645,359.338-0,"59,00"
646,351.749-7,"55,50"
647,354.440-0,"73,50"
648,351.837-0,"52,00"
649,355.045-1,"58,50"
650,357.673-6,"70,00"
651,358.782-7,"61,50"
652,357.336-2,"57,00"
653,350.541-3,"59,50"
654,359.088-7,"52,00"
655,351.355-6,"74,50"
656,350.726-2,"59,50"
657,357.424-5,"59,50"
658,301.117-8,"57,00"
659,355.232-2,"54,50"
660,354.747-7,"63,00"
661,352.382-9,"54,50"
662,356.833-4,"65,00"
663,356.389-8,"54,00"
664,356.482-7,"60,50"
665,357.035-5,"54,50"
666,353.801-0,"52,00"
667,354.189-4,"53,00"
668,356.615-3,"57,00"
669,356.452-5,"82,50"
670,355.927-0,"50,50"
671,301.114-3,"58,00"
672,358.736-3,"52,50"
673,358.760-6,"56,00"
674,351.825-6,"50,00"
675,354.048-0,"53,50"
676,357.778-3,"59,00"
677,354.943-7,"51,00"
678,352.678-0,"65,00"
679,351.572-9,"66,00"
680,350.976-1,"64,00"
681,301.052-0,"56,50"
682,354.519-9,"56,50"
683,351.164-2,"51,50"
684,355.863-0,"52,00"
685,355.331-0,"51,00"
686,352.274-1,"70,50"
687,355.522-4,"65,00"
688,352.413-2,"62,00"
689,354.210-6,"55,00"
690,357.162-9,"51,50"
691,356.391-0,"51,00"
692,355.020-6,"52,00"
693,355.023-0,"65,50"
694,357.425-3,"62,00"
695,352.527-9,"53,00"
696,357.324-9,"56,50"
697,358.142-0,"51,00"
